Ticker,CIK10,FiscalYear,FY_EndDate,TA,TL,CA,CL,RE,EBIT,Sales,NI,CFO,LT,Shares_EOP,GP,SE,WC,BVE,Price_Close_near_FYEnd,Shares_Yahoo_proxy,Altman_Z_original_FY,Altman_Zpp_FY,Piotroski_F_FY,Altman_Z_original_GF,Piotroski_F_GF,GF_MVE_Mode,GF_MVE_Current,SIC,SIC_Desc,Is_Manufacturing
META,0001326801,2024,2024-12-31,276054000000.0,93417000000.0,100045000000.0,33596000000.0,102506000000.0,69380000000.0,164501000000.0,62360000000.0,91328000000.0,28826000000.0,2614000000.0,,182637000000.0,66449000000.0,182637000000.0,585.510009765625,2168960000.0,12.064256537580162,6.531328794794307,7.0,13.17289363517582,7.0,current,1703132418437.5,,,False
QCOM,0000804328,2009,2009-09-27,27445000000.0,7129000000.0,12570000000.0,2813000000.0,11235000000.0,2226000000.0,10416000000.0,1592000000.0,7172000000.0,,1670313078.0,,20316000000.0,9757000000.0,20316000000.0,45.970001220703125,1079000064.0,8.109318881128933,7.203980061067059,,15.981604401129832,,current,170320166688.09375,,,False
QCOM,0000804328,2010,2010-09-26,30572000000.0,9714000000.0,12133000000.0,5468000000.0,13305000000.0,3283000000.0,10991000000.0,3247000000.0,4076000000.0,,1617713293.0,,20858000000.0,6665000000.0,20858000000.0,44.59000015258789,1079000064.0,6.040236397430486,5.825107815432935,5.0,12.10486460659542,6.0,current,170320166688.09375,,,False
QCOM,0000804328,2011,2011-09-25,36422000000.0,9450000000.0,14293000000.0,5289000000.0,16204000000.0,5026000000.0,14957000000.0,4260000000.0,4900000000.0,,16809844260.0,,26951000000.0,9004000000.0,26951000000.0,50.58000183105469,1079000064.0,55.76916328884725,6.993951525024558,6.0,12.599526034088504,6.0,current,170320166688.09375,,,False
QCOM,0000804328,2012,2012-09-30,43012000000.0,9467000000.0,15645000000.0,5302000000.0,20701000000.0,5682000000.0,19121000000.0,6109000000.0,5998000000.0,,1704029150.0,,33523000000.0,10343000000.0,33523000000.0,61.90999984741211,1079000064.0,8.529007443686881,7.752274495415465,6.0,12.637408559453732,6.0,current,170320166688.09375,,,False
QCOM,0000804328,2013,2013-09-29,45516000000.0,9429000000.0,19555000000.0,5213000000.0,25461000000.0,7230000000.0,24866000000.0,6853000000.0,8778000000.0,,1689435673.0,,36088000000.0,14342000000.0,36088000000.0,67.31999969482422,1079000064.0,9.46897368620436,8.976788476056097,7.0,13.069823682851423,7.0,current,170320166688.09375,,,False
QCOM,0000804328,2014,2014-09-28,48574000000.0,9408000000.0,22413000000.0,6013000000.0,30799000000.0,7550000000.0,26487000000.0,7967000000.0,8887000000.0,,1662600946.0,,39169000000.0,16400000000.0,39169000000.0,74.81999969482422,1079000064.0,10.284470112580664,9.697944016015327,5.0,13.213319883993885,6.0,current,170320166688.09375,,,False
QCOM,0000804328,2015,2015-09-27,50796000000.0,19382000000.0,22099000000.0,6100000000.0,31226000000.0,5776000000.0,25281000000.0,5271000000.0,5506000000.0,9969000000.0,1503094004.0,,31421000000.0,15999000000.0,31421000000.0,52.540000915527344,1079000064.0,4.556243145101398,6.536536269775354,4.0,7.3840505852564915,4.0,current,170320166688.09375,,,False
QCOM,0000804328,2016,2016-09-25,52359000000.0,20591000000.0,22981000000.0,7311000000.0,30936000000.0,6495000000.0,23554000000.0,5705000000.0,7400000000.0,10008000000.0,1476886684.0,,31778000000.0,15670000000.0,31778000000.0,62.310001373291016,1079000064.0,4.727035740975706,6.343487191093663,6.0,7.00847973242416,6.0,current,170320166688.09375,,,False
QCOM,0000804328,2017,2017-09-24,65486000000.0,34740000000.0,43593000000.0,10907000000.0,30088000000.0,2614000000.0,22291000000.0,2466000000.0,4693000000.0,19398000000.0,1474164639.0,,30746000000.0,32686000000.0,30746000000.0,51.619998931884766,1079000064.0,3.028586998583035,5.969644850984511,5.0,4.655940877641609,5.0,current,170320166688.09375,,,False
QCOM,0000804328,2018,2018-09-30,32686000000.0,31758000000.0,17384000000.0,11236000000.0,663000000.0,742000000.0,22732000000.0,-4864000000.0,3895000000.0,15365000000.0,1212162586.0,,928000000.0,6148000000.0,928000000.0,72.5999984741211,1079000064.0,2.687117472500649,1.4832458216516768,4.0,4.242325573655137,4.0,current,170320166688.09375,,,False
QCOM,0000804328,2019,2019-09-29,32957000000.0,28048000000.0,16765000000.0,8935000000.0,4466000000.0,7667000000.0,24273000000.0,4386000000.0,7286000000.0,13437000000.0,1141844863.0,,4909000000.0,7830000000.0,4909000000.0,76.27999877929688,1079000064.0,3.842250960115811,3.7473917229564853,8.0,5.622490020276406,8.0,current,170320166688.09375,,,False
QCOM,0000804328,2020,2020-09-27,35594000000.0,29517000000.0,18519000000.0,8672000000.0,5284000000.0,6255000000.0,23531000000.0,5198000000.0,5814000000.0,15226000000.0,1131000000.0,,6077000000.0,9847000000.0,6077000000.0,118.47000122070312,1079000064.0,4.504461865946565,3.695856269417991,6.0,5.242963650832804,6.0,current,170320166688.09375,,,False
QCOM,0000804328,2021,2021-09-26,41240000000.0,31290000000.0,20075000000.0,11951000000.0,9822000000.0,9789000000.0,33566000000.0,9043000000.0,10536000000.0,13701000000.0,1120000000.0,,9950000000.0,8124000000.0,9950000000.0,133.47999572753906,1079000064.0,5.033738303232653,3.9976957212324,7.0,5.433020594186631,7.0,current,170320166688.09375,,,False
QCOM,0000804328,2022,2022-09-25,49014000000.0,31001000000.0,20724000000.0,11866000000.0,17840000000.0,15860000000.0,44200000000.0,12936000000.0,9096000000.0,13537000000.0,1121000000.0,,18013000000.0,8858000000.0,18013000000.0,119.73999786376953,1079000064.0,5.293925759482877,5.156678222123252,6.0,5.992450886081531,6.0,current,170320166688.09375,,,False
QCOM,0000804328,2023,2023-09-24,51040000000.0,29459000000.0,22464000000.0,9628000000.0,20733000000.0,7788000000.0,35820000000.0,7232000000.0,11299000000.0,14484000000.0,1113000000.0,,21581000000.0,12836000000.0,21581000000.0,110.43000030517578,1079000064.0,4.579133884686133,4.76860094707101,5.0,5.5447792157924125,5.0,current,170320166688.09375,,,False
QCOM,0000804328,2024,2024-09-29,55154000000.0,28880000000.0,25231000000.0,10504000000.0,25687000000.0,10071000000.0,38962000000.0,10142000000.0,12202000000.0,13270000000.0,1111000000.0,,26274000000.0,14727000000.0,26274000000.0,170.0500030517578,1079000064.0,6.206485365918691,5.452222346179124,8.0,5.819946861020993,8.0,current,170320166688.09375,,,False
CRM,0001108524,2009,2010-01-31,2460201000.0,1403535000.0,1706159000.0,908130000.0,106561000.0,115272000.0,1305583000.0,80719000.0,270911000.0,,127152449.0,1047658000.0,1043802000.0,798029000.0,1043802000.0,16.295000076293945,956000000.0,2.0209338407792727,3.364850332184635,,100.21614514701464,,current,231772642333.98438,,,False
CRM,0001108524,2010,2011-01-31,3091165000.0,1814674000.0,1074924000.0,1276466000.0,171035000.0,97497000.0,1657139000.0,64474000.0,459081000.0,,132921147.0,1333326000.0,1276491000.0,-201542000.0,1276491000.0,32.28499984741211,956000000.0,2.058281725696625,0.7032197721512079,5.0,77.27221539864445,5.0,current,231772642333.98438,,,False
CRM,0001108524,2011,2012-01-31,4164154000.0,2498053000.0,1672222000.0,2323471000.0,159463000.0,-35085000.0,2266539000.0,-11572000.0,591507000.0,,137036541.0,1777653000.0,1587360000.0,-651249000.0,1587360000.0,29.200000762939453,956000000.0,1.3435331276805955,-0.290514385220474,3.0,56.05122153114532,3.0,current,231772642333.98438,,,False
CRM,0001108524,2012,2013-01-31,5528956000.0,3157711000.0,2015880000.0,2917624000.0,-110982000.0,-110710000.0,3050195000.0,-270445000.0,736897000.0,,146406655.0,2366616000.0,2317633000.0,-901744000.0,2317633000.0,43.032501220703125,956000000.0,1.4588987046869561,-0.4992407294840989,3.0,44.301146986555274,3.0,current,231772642333.98438,,,False
